name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,cost,listing_type,listed_city,high_performer
Upahar Sagar,0,0,3.8,39,Banashankari,Quick Bites,Masala Dosa,"South Indian, Chinese, North Indian",350.0,Delivery,Banashankari,0
Kadalu Sea Food Restaurant,1,0,3.8,153,Vijay Nagar,Fine Dining,,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500.0,Delivery,Banashankari,0
Frozen Bottle,1,0,4.2,146,Banashankari,Beverage Shop,"Berryblast, Waffles, Cheesecake, Salted Caramel","Beverages, Desserts, Ice Cream",400.0,Delivery,Banashankari,0
Parimala Sweets,0,0,3.5,14,Banashankari,Sweet Shop,,"Mithai, Street Food",200.0,Delivery,Banashankari,0
Vaishali Deluxe,0,0,3.8,42,Banashankari,Casual Dining,,"North Indian, Chinese",700.0,Delivery,Banashankari,0
The Big O Bakes,0,0,4.0,66,Banashankari,Bakery,,"Bakery, Desserts",300.0,Delivery,Banashankari,0
Meghana Foods,1,0,4.4,4401,Jayanagar,Casual Dining,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita","Biryani, North Indian, Chinese",600.0,Delivery,Banashankari,1
Krishna Sagar,0,0,3.5,31,Banashankari,Quick Bites,,North Indian,200.0,Delivery,Banashankari,0
Dessert Rose,0,0,3.5,7,Banashankari,Dessert Parlor,,Desserts,500.0,Delivery,Banashankari,0
Chickpet Donne Biryani House,0,0,3.7,21,Banashankari,Quick Bites,,Biryani,250.0,Delivery,Banashankari,0
Thanco's Natural Ice Creams,0,0,3.2,9,Banashankari,Dessert Parlor,,Ice Cream,300.0,Delivery,Banashankari,0
Nandhini Deluxe,0,0,2.6,283,Banashankari,Casual Dining,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",North Indian,600.0,Delivery,Banashankari,0
Vi Ra's Bar and Restaurant,0,0,3.3,62,Banashankari,Bar,Chilli Chicken,"South Indian, North Indian, Chinese",800.0,Delivery,Banashankari,0
Kaggis,0,0,3.8,64,Banashankari,Quick Bites,,"Fast Food, Bakery",250.0,Delivery,Banashankari,0
Ayda Persian Kitchen,0,0,3.7,39,Banashankari,Casual Dining,,"North Indian, Iranian",950.0,Delivery,Banashankari,0
Chatar Patar,0,0,3.7,65,Banashankari,Quick Bites,"Panipuri, Chaat, Noodles, Dahi Bhalle","Fast Food, Street Food",300.0,Delivery,Banashankari,0
Polar Bear,1,0,3.8,71,Basavanagudi,Dessert Parlor,Hot Chocolate Fudge,"Ice Cream, Desserts, Beverages, Sandwich",400.0,Delivery,Banashankari,0
Kidambi's Kitchen,0,0,3.5,52,Banashankari,Quick Bites,Rooftop Ambience,South Indian,300.0,Delivery,Banashankari,0
Mane Thindi,0,0,3.7,130,Banashankari,Quick Bites,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",South Indian,200.0,Delivery,Banashankari,0
Kotian Karavali Restaurant,0,0,3.5,10,Banashankari,Quick Bites,,"South Indian, Biryani",300.0,Delivery,Banashankari,0
Floured-Baked With Love,0,0,3.8,45,Banashankari,"Takeaway, Delivery","Cup Cake, Chocolate Cake",Bakery,400.0,Delivery,Banashankari,0
CAFE NOVA,0,0,3.2,11,Banashankari,Cafe,,"Cafe, Bakery",600.0,Delivery,Banashankari,0
Cakes & Slices,0,0,3.5,13,Banashankari,Bakery,,"Bakery, Desserts",300.0,Delivery,Banashankari,0
Spice 9,0,0,3.4,8,Banashankari,Quick Bites,,"Biryani, North Indian, Chinese, Fast Food",300.0,Delivery,Banashankari,0
Naveen Kabab & Biriyani Mane,0,0,3.2,9,Banashankari,Quick Bites,,Biryani,300.0,Delivery,Banashankari,0
Katriguppe Donne Biryani,0,0,3.2,4,Banashankari,Quick Bites,,North Indian,300.0,Delivery,Banashankari,0
Atithi Point Ande Ka Funda,0,0,3.1,29,Banashankari,Quick Bites,,North Indian,150.0,Delivery,Banashankari,0
Just Bake,0,0,3.4,8,Banashankari,Bakery,,"Bakery, Desserts",400.0,Delivery,Banashankari,0
K27 - The Pub,0,0,3.1,30,Banashankari,Bar,,"Chinese, North Indian",1000.0,Delivery,Banashankari,0
Bengaluru Coffee House,1,0,4.1,201,Banashankari,Quick Bites,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli","South Indian, North Indian, Chinese, Street Food",300.0,Delivery,Banashankari,1
New Mangalore Lunch Home,0,0,3.3,7,Banashankari,Quick Bites,,"Mangalorean, South Indian, North Indian",200.0,Delivery,Banashankari,0
Coffee Bytes,0,0,3.1,6,Banashankari,Quick Bites,,"Fast Food, South Indian",100.0,Delivery,Banashankari,0
Parjanya Chat Zone,0,0,3.3,17,Banashankari,Quick Bites,,"Street Food, Fast Food",200.0,Delivery,Banashankari,0
Kwality Wall's Swirl's Happiness Station,0,0,2.9,25,Banashankari,Dessert Parlor,,"Ice Cream, Desserts",200.0,Delivery,Banashankari,0
Ruchi Maayaka,0,0,3.3,8,Banashankari,Delivery,,South Indian,100.0,Delivery,Banashankari,0
Anna Kuteera,1,0,4.0,771,Banashankari,Casual Dining,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa","South Indian, North Indian, Chinese",450.0,Delivery,Banashankari,1
Darbar,0,0,3.0,98,Banashankari,Bar,"Paneer Tikka, Dal Kichadi, French Fries","North Indian, Chinese",800.0,Delivery,Banashankari,0
Vijayalakshmi,1,0,3.9,47,Basavanagudi,Quick Bites,,South Indian,200.0,Delivery,Banashankari,0
Sri Udupi Food Hub,1,1,4.1,175,Jayanagar,Casual Dining,"Filter Coffee, Masala Dosa, Idli, Vada","South Indian, North Indian, Chinese, Beverages",500.0,Delivery,Banashankari,0
Udupi Upahar,1,0,3.8,58,Banashankari,Quick Bites,,"South Indian, Chinese, North Indian, Juices",300.0,Delivery,Banashankari,0
House Of Kebabs,1,0,3.8,540,Basavanagudi,Casual Dining,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice","North Indian, Kebab, Biryani, Chinese",650.0,Delivery,Banashankari,0
Roll N Rock,1,0,3.8,124,Kumaraswamy Layout,Quick Bites,"Rolls, Paratha, Chicken Biryani","Chinese, North Indian, Mughlai, Rolls",400.0,Delivery,Banashankari,0
BOX8- Desi Meals,1,0,4.1,340,Banashankari,"Takeaway, Delivery","Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad","North Indian, Mughlai, Fast Food",500.0,Delivery,Banashankari,1
KFC,1,0,3.8,505,Banashankari,Quick Bites,"Burgers, French Fries","Burger, Fast Food",450.0,Delivery,Banashankari,0
Roll Over,1,0,4.1,438,Jayanagar,Dessert Parlor,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie","Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500.0,Delivery,Banashankari,1
Imperial Restaurant,1,0,3.7,264,Mysore Road,Casual Dining,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken","North Indian, Chinese, Biryani, Beverages",750.0,Delivery,Banashankari,0
Lassi Shop,1,0,3.9,169,Kumaraswamy Layout,Beverage Shop,,"Beverages, Juices, Ice Cream",150.0,Delivery,Banashankari,0
The Fortuna,1,0,3.0,67,Kumaraswamy Layout,Quick Bites,,"North Indian, Chinese",250.0,Delivery,Banashankari,0
Wahab,1,0,3.7,97,Jayanagar,Quick Bites,"Chicken Biryani, Rolls","North Indian, Mughlai, Chinese",350.0,Delivery,Banashankari,0
Al Diwan Biryanis And More,1,0,3.3,12,Basavanagudi,"Takeaway, Delivery",,Biryani,300.0,Delivery,Banashankari,0
New Gowda's Fried Chicken,1,0,3.3,12,Banashankari,Quick Bites,,Biryani,300.0,Delivery,Banashankari,0
Canton,1,0,3.6,195,Jayanagar,Casual Dining,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop","Chinese, Seafood, Biryani",800.0,Delivery,Banashankari,0
Diabetics Dezire Sugarless Sweets and Bakes,1,0,3.3,13,Basavanagudi,"Dessert Parlor, Sweet Shop",,"Desserts, Mithai",300.0,Delivery,Banashankari,0
The Blue Wagon - Kitchen,1,0,4.6,228,Jayanagar,Cafe,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich","Cafe, Beverages",400.0,Delivery,Banashankari,1
HOT COFFEE,1,0,4.1,70,Basavanagudi,Quick Bites,,"South Indian, Chinese",150.0,Delivery,Banashankari,0
Patio 805,1,1,4.1,364,Jayanagar,Casual Dining,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad","Thai, Vietnamese, Asian, Chinese",1200.0,Delivery,Banashankari,1
Lassi Corner,1,0,3.7,107,Basavanagudi,Beverage Shop,Lassi,"Beverages, Ice Cream",150.0,Delivery,Banashankari,0
Sagar Deluxe,1,0,3.2,167,Kumaraswamy Layout,Quick Bites,"Coffee, Chaat","South Indian, North Indian, Chinese, Juices",300.0,Delivery,Banashankari,0
Kanti Sweets,1,0,4.0,115,Banashankari,Sweet Shop,,"Mithai, Street Food",400.0,Delivery,Banashankari,0
Vegetalia,1,0,3.7,27,Banashankari,"Takeaway, Delivery",,"Italian, Pizza",400.0,Delivery,Banashankari,0
Aramane Donne Biryani,1,0,3.5,57,Banashankari,Quick Bites,,Biryani,200.0,Delivery,Banashankari,0
Ande Ka Funda,1,0,3.8,120,Banashankari,Quick Bites,,"North Indian, Fast Food, Rolls",250.0,Delivery,Banashankari,0
Cake Ghar,1,0,3.8,15,Basavanagudi,Bakery,,Bakery,400.0,Delivery,Banashankari,0
Energy Addaa,1,0,4.2,64,Basavanagudi,Quick Bites,"Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti","Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500.0,Delivery,Banashankari,0
Bhattara Bhojana,1,0,3.6,66,Banashankari,Quick Bites,,South Indian,150.0,Delivery,Banashankari,0
Tandoori Knight,1,0,3.0,290,Banashankari,Quick Bites,"Chicken Grill, Biryani, Roti, Chicken Masala","North Indian, Chinese, Biryani, Kebab",450.0,Delivery,Banashankari,0
Dev Sagar - Food Street,1,0,4.1,233,Basavanagudi,Quick Bites,"Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua",Street Food,200.0,Delivery,Banashankari,1
Mitraa Da Pizza,1,0,3.8,115,Kumaraswamy Layout,Quick Bites,"Pizza, Burgers","Fast Food, Pizza",250.0,Delivery,Banashankari,0
Paradise Premium,1,0,3.1,119,Banashankari,Casual Dining,,"Biryani, Andhra, Hyderabadi, North Indian",700.0,Delivery,Banashankari,0
Grazers,1,1,3.9,291,Jayanagar,Cafe,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges","Cafe, Burger, Continental, Italian, Desserts",650.0,Delivery,Banashankari,0
Shakes Theory,1,0,4.5,155,Jayanagar,Beverage Shop,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Fries, Spinach Corn Sandwich, Paneer Peri Peri","Beverages, Sandwich",300.0,Delivery,Banashankari,0
@Italy,1,0,4.1,305,Kumaraswamy Layout,Casual Dining,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",Italian,700.0,Delivery,Banashankari,1
Chilli Flakes,1,0,3.6,46,Banashankari,Quick Bites,,"Fast Food, Italian, Beverages",500.0,Delivery,Banashankari,0
Calcutta Cafe,1,0,3.5,45,Kumaraswamy Layout,Quick Bites,,"Bengali, Chinese, Sandwich",350.0,Delivery,Banashankari,0
Old Mumbai Ice Cream,1,0,3.9,38,Banashankari,Dessert Parlor,Friendly Staff,Ice Cream,150.0,Delivery,Banashankari,0
Donne Biriyani House,1,0,3.9,441,Banashankari,Quick Bites,Biryani,"South Indian, North Indian, Chinese, Biryani",400.0,Delivery,Banashankari,0
By 2 Coffee,1,0,3.9,25,Basavanagudi,Quick Bites,,South Indian,100.0,Delivery,Banashankari,0
Kedia's Fun Food,1,0,4.3,630,Jayanagar,Quick Bites,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla","North Indian, Street Food, Juices",200.0,Delivery,Banashankari,1
Davangere Butter Dosa Hotel,1,0,3.8,25,Kumaraswamy Layout,Quick Bites,,South Indian,150.0,Delivery,Banashankari,0
Just Shawarma,1,0,3.9,160,Kumaraswamy Layout,Quick Bites,"Whole Meat Shawarma, Fries",Arabian,300.0,Delivery,Banashankari,0
Mini Punjabi Dhaba,1,0,4.2,287,Banashankari,Quick Bites,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",North Indian,350.0,Delivery,Banashankari,1
Mulabagilu Dosa,1,0,3.6,11,Basavanagudi,Quick Bites,,South Indian,100.0,Delivery,Banashankari,0
